Type,Pixel count,Area (ha),Forest type,Carbon per ha (kg),Total carbon (kg)
1,1657505,11224.232681580563,Coniferous,123405.9217926865,1385136780.4860468
2,681876,4617.503346285789,Broadleaf,78007.77331713245,360201154.3281624
